Timestamp,回答方法を選んでください,所属区分,店舗名,発生場所（できるだけ具体的に）,優先度の判断に使用したいため、写真をあげてください,不具合のカテゴリ,緊急度,現場で実施した応急対応（該当するものがあれば選択・任意）,何か補足があれば教えてください！,完了ステータス
11/5/2025 17:37:53,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 恵比寿,恵比寿女性フロアのパウダールーム,https://drive.google.com/open?id=1gAkfVOnLhiqJ_DHRY2jZjbSzANob_xLj,建具・内装（扉／ロッカー／床・壁）,低,,,
11/5/2025 17:39:24,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 恵比寿,恵比寿女性90度サウナ室で謎のランプ光あり,https://drive.google.com/open?id=1YP7RX6hysngPAuKvRmWgwKggDNZ-AwpM,電気・照明・スイッチ,低,,,
11/5/2025 17:41:59,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 恵比寿,恵比寿女性90度サ室のテレビ,https://drive.google.com/open?id=1Le0tnkeMT7mY1HXp24tevMB2rCmhv4Je,サウナ・水回り（温度／水質／設備）,中,関係者へ連絡済み,10/6よりテレビが不調で店舗共有チャットですでにご報告させていただいてるものです,済
11/5/2025 17:49:56,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 恵比寿,女性フロアのパウダールームの壁,https://drive.google.com/open?id=1nzAAQA2k7m-jp51lrSm_FjVo1I4kfbfe,建具・内装（扉／ロッカー／床・壁）,中,,,
11/5/2025 17:50:45,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 恵比寿,女性フロア掛け湯のタイル破損,https://drive.google.com/open?id=1_VAH2aspgDv1iAib81ULwmkCY1L-0rTy,建具・内装（扉／ロッカー／床・壁）,低,,,
11/5/2025 17:51:41,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 恵比寿,女性自由席付近床の剥がれ,https://drive.google.com/open?id=11JoxTURky19-sUnxvj1ybGCFUUFEWtWa,建具・内装（扉／ロッカー／床・壁）,低,,,
11/5/2025 17:52:31,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 恵比寿,女性80度サ室扉上の天井部分のカビ,https://drive.google.com/open?id=1c21F0GUOwhf0TELyQxQFgzC0w39AVg5O,建具・内装（扉／ロッカー／床・壁）,低,,,
11/5/2025 17:53:30,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 恵比寿,1階フロントのクロス劣化(かび、剥がれ),https://drive.google.com/open?id=1pU1_EfIr3bmxVSzPDttD-rLLPI2_-IEk,建具・内装（扉／ロッカー／床・壁）,低,,,
11/5/2025 17:56:35,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 恵比寿,女性チルロッカー,https://drive.google.com/open?id=1VSh1Db5MINARatc0v4dOORImivsEHcS4,建具・内装（扉／ロッカー／床・壁）,高,関係者へ連絡済み,9/30にUSEN-ALMEXの三神様が101のロッカーを撤去され、これ以降101と102を閉鎖しています。,
11/5/2025 17:58:56,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 恵比寿,女性パウダールームゴミ箱付近のクロスはがれ,https://drive.google.com/open?id=1XK9hdp9xb4htMqeTvZU0UHjG1IbHFjSD,建具・内装（扉／ロッカー／床・壁）,低,,,
11/5/2025 18:00:06,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 恵比寿,女性パウダールーム,https://drive.google.com/open?id=1hd6cZOLawYDl0cJNPu3EYOlBQff6QRLd,建具・内装（扉／ロッカー／床・壁）,低,,ドリンクのストック棚のカーテンが度々落ちてしまい、かなり見栄えが悪いです。,済
11/5/2025 21:52:00,藤本,店舗スタッフ（アルバイト・社員）,Ledian Spa 麻布大衆店,自由席　黒カビおよび水を含むと匂う,https://drive.google.com/open?id=1QyhHmq4YPZqlNysqKu3DH8hSDZ5spV2m,清掃・衛生（臭い／汚れ／カビ）,高,清掃・撤去,"いま段階でファブリーズとケルヒャーのクリーナーで
対応してますがカビも匂いも手強いです",済
11/5/2025 22:03:17,藤本,店舗スタッフ（アルバイト・社員）,Ledian Spa 麻布大衆店,サウナ室の黒タイルめくれ,https://drive.google.com/open?id=1r213PK2GVR4C6K77Q5x1EpW9ru5xDEE_,その他,中,その他,"一度タイル交換済ですが、出入口のタイルのみめくれてしまいます。
いま現在はバスマット履いてめくれ防いでます。",済
11/5/2025 22:23:47,藤本,店舗スタッフ（アルバイト・社員）,Ledian Spa 麻布大衆店,ジャグジー　タイル剥がれ,https://drive.google.com/open?id=1CMM-zqYZ_RFL2A99R308YKz2nTkVr0RN,サウナ・水回り（温度／水質／設備）,高,,,
11/5/2025 22:29:45,藤本,店舗スタッフ（アルバイト・社員）,Ledian Spa 麻布大衆店,サ室スノコ,https://drive.google.com/open?id=134ALYS3cVfP7k2RGAw3OZaKhCFp20gYg,サウナ・水回り（温度／水質／設備）,中,清掃・撤去,夜勤の清掃時間にヤスリで擦ってますが、黒ずみが手強い,済
11/5/2025 22:42:21,藤本,店舗スタッフ（アルバイト・社員）,Ledian Spa 麻布大衆店,フロント横の照明飾り,https://drive.google.com/open?id=1BTHoGRMSmoNM1bJZiwPmxQ0RU6qo7k7I,建具・内装（扉／ロッカー／床・壁）,低,,リネン袋搬入や人物が通る際に接触し破損,
11/5/2025 22:46:58,藤本,店舗スタッフ（アルバイト・社員）,Ledian Spa 麻布大衆店,フロント後ろのベニヤ板,https://drive.google.com/open?id=1gLadm-t5pUuL0Ld4s9tlciKGCr8A_1ON,備品・消耗品の不足や破損,低,,受付椅子との擦れです。すみません,
11/6/2025 15:29:57,匿名で回答する,店舗スタッフ（アルバイト・社員）,Ledian Spa 麻布個室,502から出て向かって左側の壁のクロス剥がれ,https://drive.google.com/open?id=1YFb9g-wDbH0clOJyyv_-dDVZdPo-ZQcd,建具・内装（扉／ロッカー／床・壁）,低,,,
